group,n,mae,mae_lo,mae_hi,r2
medium,17262,13538.52798164226,13376.023132849528,13705.375240730786,0.3854893757227572
low,6744,13384.135293256308,13125.426030405584,13635.837594307952,0.4306715686178
high,31067,12585.579765450912,12474.41106062552,12702.681813016881,0.4533460894767404
