group,n,accuracy,acc_lo,acc_hi,macro_f1
0,25,0.8,0.64,0.96,0.5238095238095238
4,83,0.8192771084337349,0.7349397590361446,0.9036144578313253,0.508958195089582
2,121,0.8264462809917356,0.7603305785123967,0.8925619834710744,0.5285774288391328
3,110,0.8363636363636363,0.7636363636363637,0.9,0.4882246376811594
5,60,0.85,0.75,0.9333333333333333,0.37988447162759087
1,101,0.900990099009901,0.8415841584158416,0.9507425742574244,0.6021984551396317
