n_revealed,baseline_p@10,latent_p@5,latent_p@10,latent_mrr,centred_p@5,centred_p@10,centred_mrr,n_people
5,0.11931412894375859,0.38888888888888895,0.39888888888888885,0.5077349404629209,0.22888888888888886,0.25555555555555554,0.3351134766311674,90
10,0.11931412894375859,0.4799999999999999,0.47444444444444456,0.5868945064754155,0.26222222222222225,0.2566666666666667,0.35454071471632104,90
20,0.11931412894375859,0.5311111111111111,0.5122222222222221,0.6826012337965423,0.2777777777777778,0.29666666666666663,0.3608336427744471,90
50,0.11931412894375859,0.7111111111111111,0.6199999999999999,0.8451917331114411,0.23555555555555557,0.2544444444444444,0.3256628077615201,90
181,0.11931412894375859,0.8288888888888888,0.7433333333333334,0.9356481481481482,0.15333333333333335,0.1411111111111111,0.32137191719524943,90
