group,n,mae,mae_lo,mae_hi,r2
1,197,3.349075932346153,2.8054004951981826,3.955954127275319,0.9473855327407256
0,48,2.7404978720552795,2.121997395178435,3.3799768336419236,0.9769204182170462
3,184,2.682826841409437,2.251871477063087,3.1940885825770726,0.9205512208631301
2,246,2.1354286278050267,1.8774983069841722,2.4042832740190145,0.9600983967386927
4,156,2.034200915956622,1.6594702116477669,2.410964754172906,0.9422131786716849
5,96,1.9195749833226579,1.5086792669740794,2.378590147557966,0.9390141397697979
