model,test_frac,seen_per_occ,ndcg@10,p@5,mrr
occ_popularity,0.1,162.89888888888888,0.5657968555659387,0.5485294117647058,0.7367493101477476
jaccard_cf,0.1,162.89888888888888,0.8478200234993052,0.8705882352941177,0.9606699346405229
node2vec,0.1,162.89888888888888,0.49345730985014585,0.4514705882352941,0.6519174007322227
mf,0.1,162.89888888888888,0.8895455825243711,0.9058823529411765,0.9785067873303167
bpr_d,0.1,162.89888888888888,0.8111119958120065,0.8235294117647058,0.9349906629318394
occ_popularity,0.3,126.69888888888889,0.5127546036927969,0.6043795620437956,0.7514515450904256
jaccard_cf,0.3,126.69888888888889,0.7889278807567033,0.9357664233576641,0.9701946472019464
node2vec,0.3,126.69888888888889,0.38875776134317536,0.4554744525547445,0.6368569690649983
mf,0.3,126.69888888888889,0.8626701468420207,0.9605839416058396,0.9854014598540146
bpr_d,0.3,126.69888888888889,0.7624837433802673,0.9036496350364962,0.9653284671532847
occ_popularity,0.5,90.49888888888889,0.5082759851296437,0.6306569343065694,0.7674341008126578
jaccard_cf,0.5,90.49888888888889,0.717980248910454,0.8890510948905109,0.9641119221411191
node2vec,0.5,90.49888888888889,0.30815395916319016,0.3518248175182482,0.5424306879095178
mf,0.5,90.49888888888889,0.8596099423346275,0.9635036496350365,0.9890510948905109
bpr_d,0.5,90.49888888888889,0.7416516510633419,0.8861313868613139,0.9442822384428224
occ_popularity,0.7,54.29888888888889,0.4885795466693001,0.5941605839416059,0.7557023496781847
jaccard_cf,0.7,54.29888888888889,0.623529027968476,0.781021897810219,0.8664233576642336
node2vec,0.7,54.29888888888889,0.3263184398573253,0.3605839416058394,0.5471131458357346
mf,0.7,54.29888888888889,0.8332869049011431,0.945985401459854,0.9927007299270073
bpr_d,0.7,54.29888888888889,0.7286069507987658,0.8773722627737226,0.9574209245742091
occ_popularity,0.9,18.09888888888889,0.4897894750765188,0.6189781021897811,0.7514750182311367
jaccard_cf,0.9,18.09888888888889,0.33942393342734545,0.3547445255474453,0.5582426191002833
node2vec,0.9,18.09888888888889,0.23493630014937833,0.20875912408759126,0.36548850960214296
mf,0.9,18.09888888888889,0.7009069014522996,0.8802919708029197,0.9543795620437956
bpr_d,0.9,18.09888888888889,0.5458676632432112,0.7065693430656934,0.8494833931912731
