group,n,mae,mae_lo,mae_hi,r2
high,339,3.2720946205919637,2.8891897325153852,3.6908309283717315,0.955280433012627
medium,322,2.450285652036334,2.15935659445262,2.755851354661228,0.9153634702168554
low,266,1.5550748975265112,1.33709187765518,1.7874326354979042,0.8596922425622274
