group,n,mae,mae_lo,mae_hi,r2
5,4779,17684.73745664581,17305.823076093882,18080.847251406274,-2.4349422540803882
0,4700,17390.301525785595,16967.05835744517,17833.964491539547,-2.092958446130319
4,6851,13967.484713318008,13709.541073272594,14228.719657672817,-1.1161724010025504
1,12795,13582.995528984242,13410.690098450512,13775.062755852014,-0.7632395808896617
3,11909,11440.610773169406,11291.138038678464,11589.65846019375,-0.2939737502728388
2,14039,10184.429679579787,10056.974760187304,10306.78300785458,-0.03187834419572244
