teer,n,p@10,lo,hi
0,3,0.26666666666666666,0.0,0.4000000000000001
1,17,0.5176470588235295,0.3352941176470588,0.711764705882353
2,28,0.4428571428571427,0.3177678571428571,0.5678571428571428
3,12,0.15,0.049999999999999996,0.2833333333333333
4,17,0.38235294117647056,0.23529411764705882,0.5352941176470589
5,13,0.20000000000000004,0.1305769230769231,0.2846153846153846
