digits,strategy,n_revealed,method,p@5,p@10,mrr,prior
1,core_first,5,mf_impute,0.37777777777777777,0.33666666666666667,0.4686067065850679,0.11931412894375856
1,core_first,5,mf_latent,0.4355555555555556,0.4133333333333334,0.5584736767400025,0.11931412894375856
1,core_first,5,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,core_first,5,random,0.11777777777777779,0.13444444444444445,0.2902436366384484,0.11931412894375856
1,core_first,5,raw_correlation,0.1288888888888889,0.1488888888888889,0.21294730511908272,0.11931412894375856
1,core_first,5,raw_distance,0.3488888888888889,0.3644444444444444,0.49509714629251084,0.11931412894375856
1,core_first,10,mf_impute,0.42,0.4144444444444444,0.5244454219200244,0.11931412894375856
1,core_first,10,mf_latent,0.5222222222222223,0.5111111111111111,0.6517573310391255,0.11931412894375856
1,core_first,10,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,core_first,10,random,0.11777777777777779,0.13444444444444445,0.2902436366384484,0.11931412894375856
1,core_first,10,raw_correlation,0.32,0.28444444444444444,0.5036399505664643,0.11931412894375856
1,core_first,10,raw_distance,0.5355555555555556,0.4811111111111111,0.7068103462858137,0.11931412894375856
1,core_first,20,mf_impute,0.4577777777777778,0.45111111111111113,0.59932361091688,0.11931412894375856
1,core_first,20,mf_latent,0.5822222222222222,0.5488888888888889,0.7094682129457791,0.11931412894375856
1,core_first,20,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,core_first,20,random,0.11777777777777779,0.13444444444444445,0.2902436366384484,0.11931412894375856
1,core_first,20,raw_correlation,0.4111111111111111,0.3711111111111111,0.6187376228317911,0.11931412894375856
1,core_first,20,raw_distance,0.5644444444444445,0.5122222222222222,0.7378344582677178,0.11931412894375856
1,core_first,40,mf_impute,0.6533333333333333,0.5955555555555556,0.758603721717873,0.11931412894375856
1,core_first,40,mf_latent,0.6911111111111111,0.6511111111111111,0.7901062209395543,0.11931412894375856
1,core_first,40,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,core_first,40,random,0.11777777777777779,0.13444444444444445,0.2902436366384484,0.11931412894375856
1,core_first,40,raw_correlation,0.6511111111111111,0.5788888888888889,0.86354414317058,0.11931412894375856
1,core_first,40,raw_distance,0.6266666666666667,0.5577777777777778,0.8188761741665901,0.11931412894375856
1,core_first,80,mf_impute,0.7155555555555556,0.658888888888889,0.8329380225849524,0.11931412894375856
1,core_first,80,mf_latent,0.7377777777777779,0.6677777777777778,0.8817190422745979,0.11931412894375856
1,core_first,80,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,core_first,80,random,0.11777777777777779,0.13444444444444445,0.2902436366384484,0.11931412894375856
1,core_first,80,raw_correlation,0.7244444444444444,0.6388888888888888,0.9020485498726238,0.11931412894375856
1,core_first,80,raw_distance,0.7044444444444444,0.6122222222222222,0.8863389527889812,0.11931412894375856
1,core_first,181,mf_impute,0.7911111111111111,0.7055555555555556,0.9042019266741489,0.11931412894375856
1,core_first,181,mf_latent,0.8488888888888889,0.7588888888888888,0.9501218323586744,0.11931412894375856
1,core_first,181,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,core_first,181,random,0.11777777777777779,0.13444444444444445,0.2902436366384484,0.11931412894375856
1,core_first,181,raw_correlation,0.8222222222222222,0.7222222222222222,0.9460548293391431,0.11931412894375856
1,core_first,181,raw_distance,0.7844444444444444,0.6988888888888889,0.9046992719214941,0.11931412894375856
1,uniform,5,mf_impute,0.3,0.3011111111111111,0.3937597243206694,0.11931412894375856
1,uniform,5,mf_latent,0.3244444444444444,0.31222222222222223,0.44184848830162166,0.11931412894375856
1,uniform,5,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,uniform,5,random,0.12222222222222222,0.13444444444444445,0.28732120413268253,0.11931412894375856
1,uniform,5,raw_correlation,0.33555555555555555,0.31444444444444447,0.5199936133956466,0.11931412894375856
1,uniform,5,raw_distance,0.37777777777777777,0.38,0.5488691380694662,0.11931412894375856
1,uniform,10,mf_impute,0.42444444444444446,0.3966666666666667,0.5205936899513673,0.11931412894375856
1,uniform,10,mf_latent,0.4488888888888889,0.43111111111111106,0.5693498250668863,0.11931412894375856
1,uniform,10,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,uniform,10,random,0.13111111111111112,0.14,0.30437079034893544,0.11931412894375856
1,uniform,10,raw_correlation,0.45999999999999996,0.43444444444444447,0.6292754850506428,0.11931412894375856
1,uniform,10,raw_distance,0.5377777777777778,0.5033333333333333,0.7107967032967033,0.11931412894375856
1,uniform,20,mf_impute,0.5977777777777777,0.5433333333333333,0.7235240212482158,0.11931412894375856
1,uniform,20,mf_latent,0.5844444444444444,0.5722222222222222,0.7048113450700813,0.11931412894375856
1,uniform,20,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,uniform,20,random,0.12444444444444445,0.13333333333333333,0.3006917234550496,0.11931412894375856
1,uniform,20,raw_correlation,0.6022222222222222,0.5322222222222222,0.7798837371205792,0.11931412894375856
1,uniform,20,raw_distance,0.6488888888888888,0.57,0.8374930522152744,0.11931412894375856
1,uniform,40,mf_impute,0.6644444444444444,0.6055555555555555,0.7933905685700436,0.11931412894375856
1,uniform,40,mf_latent,0.7333333333333333,0.6644444444444444,0.8566259820426487,0.11931412894375856
1,uniform,40,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,uniform,40,random,0.1088888888888889,0.12000000000000001,0.2816440997942546,0.11931412894375856
1,uniform,40,raw_correlation,0.6777777777777778,0.6088888888888888,0.8696272498506882,0.11931412894375856
1,uniform,40,raw_distance,0.6822222222222222,0.6233333333333333,0.8807555504923925,0.11931412894375856
1,uniform,80,mf_impute,0.7466666666666667,0.6755555555555556,0.8458416646960125,0.11931412894375856
1,uniform,80,mf_latent,0.7866666666666666,0.7144444444444444,0.909775828460039,0.11931412894375856
1,uniform,80,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,uniform,80,random,0.12666666666666668,0.11333333333333334,0.2871711549560808,0.11931412894375856
1,uniform,80,raw_correlation,0.7866666666666666,0.7011111111111111,0.8954841308860484,0.11931412894375856
1,uniform,80,raw_distance,0.76,0.6744444444444445,0.9025828311122429,0.11931412894375856
1,uniform,181,mf_impute,0.7911111111111111,0.7055555555555556,0.9042019266741489,0.11931412894375856
1,uniform,181,mf_latent,0.8488888888888889,0.7588888888888888,0.9501218323586744,0.11931412894375856
1,uniform,181,popular_group,0.17777777777777778,0.17777777777777778,0.1816857409122097,0.11931412894375856
1,uniform,181,random,0.11777777777777779,0.13444444444444445,0.2902436366384484,0.11931412894375856
1,uniform,181,raw_correlation,0.8222222222222222,0.7222222222222222,0.9460548293391431,0.11931412894375856
1,uniform,181,raw_distance,0.7844444444444444,0.6988888888888889,0.9046992719214941,0.11931412894375856
2,core_first,5,mf_impute,0.17555555555555558,0.1522222222222222,0.2551595944573454,0.04171467764060356
2,core_first,5,mf_latent,0.23555555555555555,0.20777777777777778,0.3608023931268085,0.04171467764060356
2,core_first,5,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,core_first,5,random,0.035555555555555556,0.04888888888888889,0.12143535861112874,0.04171467764060356
2,core_first,5,raw_correlation,0.06666666666666667,0.06777777777777777,0.13819363811157107,0.04171467764060356
2,core_first,5,raw_distance,0.19333333333333333,0.19333333333333333,0.3172022196016314,0.04171467764060356
2,core_first,10,mf_impute,0.24666666666666665,0.24666666666666665,0.32243083678217604,0.04171467764060356
2,core_first,10,mf_latent,0.31333333333333335,0.3088888888888889,0.4471634750139618,0.04171467764060356
2,core_first,10,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,core_first,10,random,0.035555555555555556,0.04888888888888889,0.12143535861112874,0.04171467764060356
2,core_first,10,raw_correlation,0.1911111111111111,0.16444444444444445,0.3644097877277174,0.04171467764060356
2,core_first,10,raw_distance,0.3422222222222222,0.3088888888888889,0.5100973502431666,0.04171467764060356
2,core_first,20,mf_impute,0.3111111111111111,0.29333333333333333,0.4710414288731553,0.04171467764060356
2,core_first,20,mf_latent,0.4133333333333334,0.3655555555555555,0.5597904761930738,0.04171467764060356
2,core_first,20,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
